snu: Đại học Quốc gia Seoul | Seoul National University | 서울대학교
mock_uni_97: Đại học Dong-A | Dong-A University | Dong-A대학교
mock_uni_98: Đại học Pukyong | Pukyong University | Pukyong대학교
mock_uni_99: Đại học Changwon | Changwon University | Changwon대학교
mock_uni_100: Đại học Hallym | Hallym University | Hallym대학교
mock_uni_101: Đại học Myongji | Myongji University | Myongji대학교
mock_uni_102: Đại học Sangmyung | Sangmyung University | Sangmyung대학교
mock_uni_103: Đại học Duksung | Duksung University | Duksung대학교
mock_uni_104: Đại học Hongik | Hongik University | Hongik대학교
mock_uni_105: Đại học Seokyeong | Seokyeong University | Seokyeong대학교
mock_uni_106: Đại học Sungshin | Sungshin University | Sungshin대학교
mock_uni_107: Đại học Semyung | Semyung University | Semyung대학교
mock_uni_108: Đại học Sookmyung | Sookmyung University | Sookmyung대학교
mock_uni_109: Đại học Ulsan | Ulsan University | Ulsan대학교
mock_uni_110: Đại học Youngsan | Youngsan University | Youngsan대학교
mock_uni_111: Đại học Kunsan | Kunsan University | Kunsan대학교
mock_uni_112: Đại học Woosuk | Woosuk University | Woosuk대학교
mock_uni_113: Đại học Kyungwoon | Kyungwoon University | Kyungwoon대학교
mock_uni_114: Đại học Far East | Far East University | Far East대학교
mock_uni_115: Đại học Hanseo | Hanseo University | Hanseo대학교
mock_uni_116: Đại học Chungwoon | Chungwoon University | Chungwoon대학교
mock_uni_117: Đại học Howon | Howon University | Howon대학교
mock_uni_118: Đại học Dongshin | Dongshin University | Dongshin대학교
mock_uni_119: Đại học Nambu | Nambu University | Nambu대학교
mock_uni_120: Đại học Mokpo | Mokpo University | Mokpo대학교
mock_uni_121: Đại học Suncheon | Suncheon University | Suncheon대학교
mock_uni_122: Đại học Gwangju | Gwangju University | Gwangju대학교
mock_uni_123: Đại học Kosin | Kosin University | Kosin대학교
mock_uni_124: Đại học Kyungsung | Kyungsung University | Kyungsung대학교
mock_uni_125: Đại học Dong-Eui | Dong-Eui University | Dong-Eui대학교
mock_uni_126: Đại học Silla | Silla University | Silla대학교
mock_uni_127: Đại học Tongmyong | Tongmyong University | Tongmyong대학교
mock_uni_128: Đại học Dongseo | Dongseo University | Dongseo대학교
mock_uni_129: Đại học Kookmin | Kookmin University | Kookmin대학교
mock_uni_130: Đại học Ajou | Ajou University | Ajou대학교
mock_uni_131: Đại học Inha | Inha University | Inha대학교
mock_uni_132: Đại học Soongsil | Soongsil University | Soongsil대학교
mock_uni_133: Đại học Konyang | Konyang University | Konyang대학교
mock_uni_134: Đại học Inje | Inje University | Inje대학교
mock_uni_135: Đại học Sangji | Sangji University | Sangji대학교
mock_uni_136: Đại học Hansung | Hansung University | Hansung대학교
mock_uni_137: Đại học Gachon | Gachon University | Gachon대학교
mock_uni_138: Đại học Dankook | Dankook University | Dankook대학교
mock_uni_139: Đại học Chosun | Chosun University | Chosun대학교
mock_uni_140: Đại học Dong-A | Dong-A University | Dong-A대학교
mock_uni_141: Đại học Pukyong | Pukyong University | Pukyong대학교
mock_uni_142: Đại học Changwon | Changwon University | Changwon대학교
mock_uni_143: Đại học Hallym | Hallym University | Hallym대학교
mock_uni_144: Đại học Myongji | Myongji University | Myongji대학교
mock_uni_145: Đại học Sangmyung | Sangmyung University | Sangmyung대학교
mock_uni_146: Đại học Duksung | Duksung University | Duksung대학교
mock_uni_147: Đại học Hongik | Hongik University | Hongik대학교
mock_uni_148: Đại học Seokyeong | Seokyeong University | Seokyeong대학교
mock_uni_149: Đại học Sungshin | Sungshin University | Sungshin대학교
mock_uni_150: Đại học Semyung | Semyung University | Semyung대학교
mock_uni_151: Đại học Sookmyung | Sookmyung University | Sookmyung대학교
mock_uni_152: Đại học Ulsan | Ulsan University | Ulsan대학교
mock_uni_153: Đại học Youngsan | Youngsan University | Youngsan대학교
mock_uni_154: Đại học Kunsan | Kunsan University | Kunsan대학교
mock_uni_155: Đại học Woosuk | Woosuk University | Woosuk대학교
mock_uni_156: Đại học Kyungwoon | Kyungwoon University | Kyungwoon대학교
mock_uni_157: Đại học Far East | Far East University | Far East대학교
mock_uni_158: Đại học Hanseo | Hanseo University | Hanseo대학교
mock_uni_159: Đại học Chungwoon | Chungwoon University | Chungwoon대학교
mock_uni_160: Đại học Howon | Howon University | Howon대학교
mock_uni_161: Đại học Dongshin | Dongshin University | Dongshin대학교
mock_uni_162: Đại học Nambu | Nambu University | Nambu대학교
mock_uni_163: Đại học Mokpo | Mokpo University | Mokpo대학교
mock_uni_164: Đại học Suncheon | Suncheon University | Suncheon대학교
mock_uni_165: Đại học Gwangju | Gwangju University | Gwangju대학교
mock_uni_166: Đại học Kosin | Kosin University | Kosin대학교
mock_uni_167: Đại học Kyungsung | Kyungsung University | Kyungsung대학교
mock_uni_168: Đại học Dong-Eui | Dong-Eui University | Dong-Eui대학교
mock_uni_169: Đại học Silla | Silla University | Silla대학교
mock_uni_170: Đại học Tongmyong | Tongmyong University | Tongmyong대학교
mock_uni_171: Đại học Dongseo | Dongseo University | Dongseo대학교
mock_uni_172: Đại học Kookmin | Kookmin University | Kookmin대학교
mock_uni_173: Đại học Ajou | Ajou University | Ajou대학교
mock_uni_174: Đại học Inha | Inha University | Inha대학교
mock_uni_175: Đại học Soongsil | Soongsil University | Soongsil대학교
mock_uni_176: Đại học Konyang | Konyang University | Konyang대학교
mock_uni_177: Đại học Inje | Inje University | Inje대학교
mock_uni_178: Đại học Sangji | Sangji University | Sangji대학교
mock_uni_179: Đại học Hansung | Hansung University | Hansung대학교
mock_uni_180: Đại học Gachon | Gachon University | Gachon대학교
mock_uni_181: Đại học Dankook | Dankook University | Dankook대학교
mock_uni_182: Đại học Chosun | Chosun University | Chosun대학교
mock_uni_183: Đại học Dong-A | Dong-A University | Dong-A대학교
mock_uni_184: Đại học Pukyong | Pukyong University | Pukyong대학교
mock_uni_185: Đại học Changwon | Changwon University | Changwon대학교
mock_uni_186: Đại học Hallym | Hallym University | Hallym대학교
mock_uni_187: Đại học Myongji | Myongji University | Myongji대학교
mock_uni_188: Đại học Sangmyung | Sangmyung University | Sangmyung대학교
mock_uni_189: Đại học Duksung | Duksung University | Duksung대학교
mock_uni_190: Đại học Hongik | Hongik University | Hongik대학교
mock_uni_191: Đại học Seokyeong | Seokyeong University | Seokyeong대학교
mock_uni_192: Đại học Sungshin | Sungshin University | Sungshin대학교
mock_uni_193: Đại học Semyung | Semyung University | Semyung대학교
mock_uni_194: Đại học Sookmyung | Sookmyung University | Sookmyung대학교
mock_uni_195: Đại học Ulsan | Ulsan University | Ulsan대학교
mock_uni_196: Đại học Youngsan | Youngsan University | Youngsan대학교
mock_uni_197: Đại học Kunsan | Kunsan University | Kunsan대학교
mock_uni_198: Đại học Woosuk | Woosuk University | Woosuk대학교
mock_uni_199: Đại học Kyungwoon | Kyungwoon University | Kyungwoon대학교
mock_uni_200: Đại học Far East | Far East University | Far East대학교
mock_uni_201: Đại học Hanseo | Hanseo University | Hanseo대학교
mock_uni_202: Đại học Chungwoon | Chungwoon University | Chungwoon대학교
mock_uni_203: Đại học Howon | Howon University | Howon대학교
mock_uni_204: Đại học Dongshin | Dongshin University | Dongshin대학교
